"Availability|up","1","OBSERVATION","SUM","COLLECTIVE"
"Availability|Server Uptime (sec)","15168","OBSERVATION","CURRENT","INDIVIDUAL"
"Resource Utilization|CPU|Load","1","OBSERVATION","AVERAGE","COLLECTIVE"
"Resource Utilization|Processes|Busy Workers","37","OBSERVATION","AVERAGE","COLLECTIVE"
"Resource Utilization|Processes|Idle Workers","6","OBSERVATION","AVERAGE","COLLECTIVE"
"Activity|Total Accesses","40744","OBSERVATION","SUM","COLLECTIVE"
"Activity|Total Traffic","373642","OBSERVATION","SUM","COLLECTIVE"
"Activity|Requests/min","161","OBSERVATION","AVERAGE","COLLECTIVE"
"Activity|Bytes/min","1513488","OBSERVATION","AVERAGE","COLLECTIVE"
"Activity|Bytes/req","9391","OBSERVATION","AVERAGE","COLLECTIVE"
"Activity|Type|Starting Up","0","OBSERVATION","CURRENT","COLLECTIVE"
"Activity|Type|Reading Request","0","OBSERVATION","CURRENT","COLLECTIVE"
"Activity|Type|Sending Reply","35","OBSERVATION","CURRENT","COLLECTIVE"
"Activity|Type|Keep Alive","1","OBSERVATION","CURRENT","COLLECTIVE"
"Activity|Type|DNS Lookup","0","OBSERVATION","CURRENT","COLLECTIVE"
"Activity|Type|Closing Connection","1","OBSERVATION","CURRENT","COLLECTIVE"
"Activity|Type|Logging","0","OBSERVATION","CURRENT","COLLECTIVE"
"Activity|Type|Gracefully Finishing","0","OBSERVATION","CURRENT","COLLECTIVE"
"Activity|Type|Cleaning Up","0","OBSERVATION","CURRENT","COLLECTIVE"
