metricName,yAxisFormatter,renderer,graph,isPrediction,title,isCumulative
tomcat.HeapMemoryUsage,byte,line,TRUE,TRUE,tomcat heap memory usage,FALSE
tomcat.NonHeapMemoryUsage,byte,line,TRUE,FALSE,tomcat non heap memory usage,FALSE
tomcat.Uptime,default,line,TRUE,FALSE,tomcat uptime,TRUE
tomcat.errorCount,default,line,TRUE,FALSE,tomcat error count,TRUE
tomcat.ThreadCount,default,line,TRUE,FALSE,tomcat thread count,FALSE
tomcat.currentThreadsBusy,default,line,TRUE,FALSE,tomcat current threads busy,FALSE
postgresql.connections,byte,line,TRUE,FALSE,postgresql connections,FALSE
postgresql.numbackends,byte,line,TRUE,FALSE,postgresql numbackends,FALSE
postgresql.blks_hit,byte,line,TRUE,FALSE,postgresql blks_hit,FALSE
postgresql.blks_read,byte,line,TRUE,FALSE,postgresql blks_read,FALSE
postgresql.size,default,line,TRUE,FALSE,postgresql size,FALSE
hbase.master.direct.MemoryUsed,byte,,TRUE,FALSE,hbase master direct MemoryUsed,FALSE
hbase.master.mapped.MemoryUsed,byte,,TRUE,FALSE,hbase master mapped MemoryUsed,FALSE
hbase.master.masterstatistics.cluster_requests,default,,TRUE,FALSE,hbase master masterstatistics cluster requests,FALSE
hbase.master.regionserverstatistics.regions,default,,TRUE,FALSE,hbase master regionserverstatistics regions,FALSE
hbase.master.regionserverstatistics.requests,default,,TRUE,FALSE,hbase master regionserverstatistics requests,FALSE
hbase.master.regionserverdynamicstatistics.blockCacheSize,default,,TRUE,FALSE,hbase master regionserverdynamicstatistics blockCacheSize,FALSE
hbase.master.regionserverdynamicstatistics.responseQueuesSize,default,,TRUE,FALSE,hbase master regionserverdynamicstatistics responseQueuesSize,FALSE
hbase.master.regionserverstatistics.writeRequestsCount,default,,TRUE,FALSE,hbase master regionserverstatistics writeRequestsCount,FALSE
hbase.master.regionserverstatistics.fsReadLatencyAvgTime,default,,TRUE,FALSE,hbase master regionserverstatistics fsReadLatencyAvgTime,FALSE
hbase.master.regionserverstatistics.flushSizeAvgTime,default,,TRUE,FALSE,hbase master regionserverstatistics flushSizeAvgTime,FALSE
